id,sentence_raw,sentence_clean,e1,e2,relation_full,relation_type,relation_direction,comment
3226,Capacity is the <e1>combination</e1> of human <e2>resources</e2> and institutions that permits countries to achieve their development goals.,Capacity is the combination of human resources and institutions that permits countries to achieve their development goals.,combination,resources,Other,Other,none,"Combination here is a mix, the elements are not independent of each other."
3227,The <e1>workers</e1> fell from an <e2>upper part</e2> of the roof to a lower part.,The workers fell from an upper part of the roof to a lower part.,workers,upper part,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3228,"Frequently, the librettist hasn't had an inkling of these feelings, for they are all in the <e1>composer</e1>'s <e2>head</e2>.","Frequently, the librettist hasn't had an inkling of these feelings, for they are all in the composer's head.",composer,head,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",head is not a product
3229,"In Swahili, Jana means yesterday; so here are some <e1>items</e1> from her <e2>yesterdays</e2>.","In Swahili, Jana means yesterday; so here are some items from her yesterdays.",items,yesterdays,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3230,"The <e1>team</e1> finishes the <e2>season</e2> with a 9-11 record, just short of tournament contention.","The team finishes the season with a 9-11 record, just short of tournament contention.",team,season,Other,Other,none,season is not a product
3231,"It became an obsession but, frustrated at every turn, he eventually made do with a <e1>copy</e1> made by a family <e2>firm</e2> in Nottingham.","It became an obsession but, frustrated at every turn, he eventually made do with a copy made by a family firm in Nottingham.",copy,firm,Other,Other,none,
3232,The <e1>flag</e1> randomly popped out of an enemy's <e2>corpse</e2>.,The flag randomly popped out of an enemy's corpse.,flag,corpse,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3233,But the most <e1>damage</e1> has been caused by the corrosive <e2>effects</e2> of wind and water.,But the most damage has been caused by the corrosive effects of wind and water.,damage,effects,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
3234,The first <e1>scene</e1> shows a <e2>meeting</e2> between Axel and a tramp in the street at night-time.,The first scene shows a meeting between Axel and a tramp in the street at night-time.,scene,meeting,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",The scene is about a meeting.
3235,The <e1>fueltruck</e1> was contained in a large <e2>box</e2> to ensure that any spilled diesel would be contained.,The fueltruck was contained in a large box to ensure that any spilled diesel would be contained.,fueltruck,box,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example; modality is outside
3236,"One of the requirements of the portfolio is a goal <e1>sheet</e1>, which is completed by the <e2>student</e2>.","One of the requirements of the portfolio is a goal sheet, which is completed by the student.",sheet,student,"Product-Producer(e1,e2)",Product-Producer,"e1,e2",the student is the producers of the sheet
3237,The <e1>sun</e1> emerged from the <e2>pillow</e2> of white clouds.,The sun emerged from the pillow of white clouds.,sun,pillow,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3238,The central theme of the <e1>book</e1> is the <e2>development</e2> of the idea of congruence.,The central theme of the book is the development of the idea of congruence.,book,development,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
3239,"After the <e1>snake</e1> was in a <e2>jar</e2> for a few minutes, it ceased the letisimulatory posturing and appeared normal.","After the snake was in a jar for a few minutes, it ceased the letisimulatory posturing and appeared normal.",snake,jar,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
3240,"<e1>Rice</e1> <e2>beer</e2> is a famous Asian country's drink, especially in Japan.","Rice beer is a famous Asian country's drink, especially in Japan.",Rice,beer,"Entity-Origin(e2,e1)",Entity-Origin,"e2,e1",
3241,"I feel honored to have been awarded this scholarship, since it comes from the governing <e1>body</e1> of <e2>pathologists</e2>, which decides who is worthy and who they think will progress to become successful in this field.","I feel honored to have been awarded this scholarship, since it comes from the governing body of pathologists, which decides who is worthy and who they think will progress to become successful in this field.",body,pathologists,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",modality is outside
3242,"Theocritus was born in Syracuse, Sicily, spent time on the island of Kos and was also a member of the <e1>pleiad</e1> of Alexandrian <e2>poets</e2> under Ptolemy II in Alexandria.","Theocritus was born in Syracuse, Sicily, spent time on the island of Kos and was also a member of the pleiad of Alexandrian poets under Ptolemy II in Alexandria.",pleiad,poets,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
3243,"The years of the first postwar five-year plan saw a vigorous rise in the <e1>factory</e1>'s output of <e2>equipment</e2> for the chemical, metallurgical, coal and petroleum industries.","The years of the first postwar five-year plan saw a vigorous rise in the factory's output of equipment for the chemical, metallurgical, coal and petroleum industries.",factory,equipment,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",(a) is satisfied
3244,These <e1>city dwellers</e1> have sunk into <e2>abominations</e2>.,These city dwellers have sunk into abominations.,city dwellers,abominations,Other,Other,none,violates b.1 and c.3
3245,"The model describes the relationship between a government and the <e1>manager</e1> of a <e2>firm</e2> which produces a pure public good, under private or public ownership.","The model describes the relationship between a government and the manager of a firm which produces a pure public good, under private or public ownership.",manager,firm,Other,Other,none,
3246,I will need a Stevyn sized box as I have more mucus than an <e1>escargotoire</e1> of giant African land <e2>snails</e2>.,I will need a Stevyn sized box as I have more mucus than an escargotoire of giant African land snails.,escargotoire,snails,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",A collective name; nodality is outside
3247,Putting a first time learner in the <e1>driver</e1>'s seat of a <e2>car</e2> is a scary proposition.,Putting a first time learner in the driver's seat of a car is a scary proposition.,driver,car,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
3248,The 2 in 1 <e1>shampoo</e1> and conditioner was in a <e2>bottle</e2> fixed on the shower wall.,The 2 in 1 shampoo and conditioner was in a bottle fixed on the shower wall.,shampoo,bottle,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
3249,This study has added <e1>insights</e1> into the <e2>diversity</e2> as a phenomenon in nursing and has implications for the nursing profession.,This study has added insights into the diversity as a phenomenon in nursing and has implications for the nursing profession.,insights,diversity,"Message-Topic(e1,e2)",Message-Topic,"e1,e2","This is topic -- insight ON diversity; insights are not externalized, unless they are written up. This one is."
3250,"<e1>Brutality</e1> was an intrinsic part of <e2>plantation life</e2> and no child, however privileged or protected, could escape its ugliness or it savagery.","Brutality was an intrinsic part of plantation life and no child, however privileged or protected, could escape its ugliness or it savagery.",Brutality,plantation life,Other,Other,none,
3251,"A unique ""red and green"" army of trade union and environmental campaigners was on the march in an attempt to save from closure Britain's only major wind <e1>turbine</e1> manufacturing <e2>plant</e2>.","A unique ""red and green"" army of trade union and environmental campaigners was on the march in an attempt to save from closure Britain's only major wind turbine manufacturing plant.",turbine,plant,"Product-Producer(e1,e2)",Product-Producer,"e1,e2",(a) is satisfied
3252,"In his Running Film (1972), each shot lasts for ten seconds while a <e1>figure</e1> runs away from the <e2>camera</e2> as far as he can in the time.","In his Running Film (1972), each shot lasts for ten seconds while a figure runs away from the camera as far as he can in the time.",figure,camera,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3253,"The <e1>police</e1> told an open government <e2>surveyor</e2> it ""doesn't give out the records"".","The police told an open government surveyor it ""doesn't give out the records"".",police,surveyor,Other,Other,none,surveyor is not a product; negation is outside
3254,The <e1>movement</e1> developed from the <e2>rediscovery</e2> by European scholars of many Greek and Roman texts.,The movement developed from the rediscovery by European scholars of many Greek and Roman texts.,movement,rediscovery,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
3255,The <e1>fireman</e1>'s <e2>report</e2> for the afternoon of January 11th stated the Banbury seam to be in good condition with no gas and good ventilation.,The fireman's report for the afternoon of January 11th stated the Banbury seam to be in good condition with no gas and good ventilation.,fireman,report,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",(a) is satisfied; modality and negation are outside
3256,The albinistic <e1>birds</e1> are descended from an albinistic <e2>parent</e2> for in all these years that I have been observing these abnormal birds.,The albinistic birds are descended from an albinistic parent for in all these years that I have been observing these abnormal birds.,birds,parent,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3257,The <e1>mycelia</e1> of <e2>truffles</e2> form symbiotic relationships with the roots of several tree species.,The mycelia of truffles form symbiotic relationships with the roots of several tree species.,mycelia,truffles,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
3258,"An expansion <e1>tank</e1> has a vertically set up <e2>cylinder</e2> with a float therein, which forms a separating element between water and gas in the cylinder.","An expansion tank has a vertically set up cylinder with a float therein, which forms a separating element between water and gas in the cylinder.",tank,cylinder,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
3259,The vascular <e1>dilatation</e1> was caused by the sympathetic and the course of vaso-motor <e2>nerves</e2>.,The vascular dilatation was caused by the sympathetic and the course of vaso-motor nerves.,dilatation,nerves,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
3260,Sheet and <e1>rill</e1> <e2>erosion</e2> is considered to be the most harmful of all soil erosion forms since it may be unnoticed or ignored by the peasant.,Sheet and rill erosion is considered to be the most harmful of all soil erosion forms since it may be unnoticed or ignored by the peasant.,rill,erosion,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
3261,<e1>Engine</e1> <e2>pistons</e2> transmit the force generated by the combustion gas to the connecting rods.,Engine pistons transmit the force generated by the combustion gas to the connecting rods.,Engine,pistons,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
3262,A young girl tries to fit in with a <e1>clique</e1> of popular middle school <e2>girls</e2> after moving into the guest house of one of their homes.,A young girl tries to fit in with a clique of popular middle school girls after moving into the guest house of one of their homes.,clique,girls,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
3263,"Naturally, they get taken in by a <e1>sorority</e1> of <e2>misfits</e2> who teach them that what's on the inside is more important than being cute.","Naturally, they get taken in by a sorority of misfits who teach them that what's on the inside is more important than being cute.",sorority,misfits,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
3264,The <e1>foot</e1> was inside a white Nike <e2>running shoe</e2>.,The foot was inside a white Nike running shoe.,foot,running shoe,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
3265,"Expecting the lion to come out of the bushes at any moment, we were surprised to see a <e1>coalition</e1> of male <e2>cheetahs</e2> instead.","Expecting the lion to come out of the bushes at any moment, we were surprised to see a coalition of male cheetahs instead.",coalition,cheetahs,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
3266,We store the <e1>cards</e1> in a matching <e2>box</e2>.,We store the cards in a matching box.,cards,box,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example; no movement
3267,The female constructs a <e1>nest</e1> of <e2>grass</e2> in a hollow on the ground.,The female constructs a nest of grass in a hollow on the ground.,nest,grass,Other,Other,none,"e2 is a material, not a component"
3268,The <e1>problem</e1> comes from the <e2>widgets</e2> resembling HTC's own Sense UI widgets.,The problem comes from the widgets resembling HTC's own Sense UI widgets.,problem,widgets,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
3269,NASA have also taken <e1>fish</e1> into <e2>space</e2>.,NASA have also taken fish into space.,fish,space,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
3270,"The average <e1>soldier</e1> joins your <e2>army</e2> for the pay, and if you cannot pay him he will walk away and go back to get a job as a farmer or laborer.","The average soldier joins your army for the pay, and if you cannot pay him he will walk away and go back to get a job as a farmer or laborer.",soldier,army,"Member-Collection(e1,e2)",Member-Collection,"e1,e2",modality and negation are outside
3271,The <e1>kids</e1> get to hop around in a <e2>sack</e2> or pillowcase.,The kids get to hop around in a sack or pillowcase.,kids,sack,Other,Other,none,"in this example, the sack is not a container"
3272,More important <e1>advantages</e1> are related to the <e2>position</e2> of a left-handed first baseman with respect to the base.,More important advantages are related to the position of a left-handed first baseman with respect to the base.,advantages,position,Other,Other,none,
3273,The <e1>boat</e1> had set sail on Wednesday from the <e2>port</e2> of Kotorr (Monte Negro) and was making to southern coast of Italy.,The boat had set sail on Wednesday from the port of Kotorr (Monte Negro) and was making to southern coast of Italy.,boat,port,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3274,The <e1>mage</e1> blasts the foe with <e2>spells</e2> and the Knights ride up the flank and hammer the enemies' sides.,The mage blasts the foe with spells and the Knights ride up the flank and hammer the enemies' sides.,mage,spells,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
3275,"So far this year, the city has dumped <e1>sewage</e1> into the <e2>river</e2> more than 500 times.","So far this year, the city has dumped sewage into the river more than 500 times.",sewage,river,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
3276,The northern half of the <e1>block</e1> includes a <e2>parking structure</e2> with five levels.,The northern half of the block includes a parking structure with five levels.,block,parking structure,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
3277,A family <e1>report</e1> on Hope's website gave details of the morning's <e2>events</e2>.,A family report on Hope's website gave details of the morning's events.,report,events,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
3278,"The owner returns the amount paid by way of guarantee deposit, within 31 days after the <e1>occupants</e1>' departure from the <e2>property</e2>.","The owner returns the amount paid by way of guarantee deposit, within 31 days after the occupants' departure from the property.",occupants,property,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3279,"Most <e1>ticking</e1> is made of synthetic <e2>fibers</e2> like polyester, or acrylic.","Most ticking is made of synthetic fibers like polyester, or acrylic.",ticking,fibers,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3280,"The <e1>pizza</e1> was contained in a large, recyclable <e2>cardboard box</e2>, and the sugar was packaged in a recyclable paper bag.","The pizza was contained in a large, recyclable cardboard box, and the sugar was packaged in a recyclable paper bag.",pizza,cardboard box,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
3281,One of the guards at the <e1>entrance</e1> of the <e2>supermarket</e2> said it had been the same scenario on Saturday with a long queue for sugar being the order of the day.,One of the guards at the entrance of the supermarket said it had been the same scenario on Saturday with a long queue for sugar being the order of the day.,entrance,supermarket,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
3282,The <e1>painting</e1> was in a <e2>trunk</e2> next to the bed.,The painting was in a trunk next to the bed.,painting,trunk,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
3283,"Thus, the interpretation of a <e1>battery</e1> of psychological <e2>tests</e2> depends on who does the interpreting.","Thus, the interpretation of a battery of psychological tests depends on who does the interpreting.",battery,tests,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
3284,"In this <e1>strategy</e1> we set out the main <e2>issues</e2>, priorities and tasks.","In this strategy we set out the main issues, priorities and tasks.",strategy,issues,"Message-Topic(e1,e2)",Message-Topic,"e1,e2","Assumed that strategy is a document, or is in a document."
3285,"The <e1>fire</e1> is caused by <e2>overheating</e2> of connections, which is cause by its turn by poor ohmic contact.","The fire is caused by overheating of connections, which is cause by its turn by poor ohmic contact.",fire,overheating,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
3286,The <e1>subject</e1> first moves a <e2>foot</e2> in order to take a step.,The subject first moves a foot in order to take a step.,subject,foot,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
3287,Figure 9 shows the average <e1>delays</e1> obtained with this <e2>policy</e2> as compared with those of the previous subsection.,Figure 9 shows the average delays obtained with this policy as compared with those of the previous subsection.,delays,policy,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
3288,By the end of 1559 the whole <e1>bench</e1> of catholic <e2>bishops</e2> had been replaced.,By the end of 1559 the whole bench of catholic bishops had been replaced.,bench,bishops,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
3289,The <e1>trip</e1> of two mountain <e2>goats</e2> to was also a subject for discussion.,The trip of two mountain goats to was also a subject for discussion.,trip,goats,Other,Other,none,does trip here refer to 'journey' or group?
3290,Space shuttle science shows how 1908 Tunguska <e1>explosion</e1> was caused by a <e2>comet</e2>.,Space shuttle science shows how 1908 Tunguska explosion was caused by a comet.,explosion,comet,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
3291,"The result is an exciting <e1>melee</e1> of <e2>influences</e2>, all bound together by the unswerving class and charisma of Kinny's persona.","The result is an exciting melee of influences, all bound together by the unswerving class and charisma of Kinny's persona.",melee,influences,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
3292,"Cobalt metal <e1>fume</e1> and dust cause upper respiratory tract irritation, chronic interstitial pneumonitis, and skin <e2>sensitization</e2>.","Cobalt metal fume and dust cause upper respiratory tract irritation, chronic interstitial pneumonitis, and skin sensitization.",fume,sensitization,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
3293,The leeward <e1>barchan</e1> runs away from the windward <e2>barchan</e2> because of the inverse relationship between velocity and height.,The leeward barchan runs away from the windward barchan because of the inverse relationship between velocity and height.,barchan,barchan,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3294,Every child and young person seen at Starship with <e1>intoxication</e1> from alcohol or illicit <e2>drug use</e2> had a social work assessment before leaving the hospital.,Every child and young person seen at Starship with intoxication from alcohol or illicit drug use had a social work assessment before leaving the hospital.,intoxication,drug use,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
3295,Paradise Coffee is one producer that offers several <e1>coffees</e1> produced by different <e2>species</e2> of beans.,Paradise Coffee is one producer that offers several coffees produced by different species of beans.,coffees,species,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",the coffee is produced from different species of beans.
3296,"Accompained by two Seneca Indians, he set out on snow shoes with a forty pound <e1>pack</e1> of <e2>clothing</e2> and books to traverse that long and perilous trail.","Accompained by two Seneca Indians, he set out on snow shoes with a forty pound pack of clothing and books to traverse that long and perilous trail.",pack,clothing,"Content-Container(e2,e1)",Content-Container,"e2,e1",Assuming a pack is a unit of packaging.
3297,We inserted some <e1>sound</e1> into the blackboard <e2>announcements</e2>.,We inserted some sound into the blackboard announcements.,sound,announcements,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
3298,Only then did I notice an <e1>ambush</e1> of <e2>tigers</e2> pacing us on the far shore.,Only then did I notice an ambush of tigers pacing us on the far shore.,ambush,tigers,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
3299,"Thus, during long-term operation of a reactor with a sodium coolant, the <e1>radionuclides</e1> migrated into <e2>stainless steel</e2> up to a depth of i00-ii0 ~m.","Thus, during long-term operation of a reactor with a sodium coolant, the radionuclides migrated into stainless steel up to a depth of i00-ii0 ~m.",radionuclides,stainless steel,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
3300,The <e1>title</e1> originates from an Ohioan urban <e2>myth</e2>.,The title originates from an Ohioan urban myth.,title,myth,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3301,The <e1>photos</e1> from past <e2>events</e2> were printed and on display in the fellowship hall for several weeks during the 60th anniversary celebration in Sept 2006.,The photos from past events were printed and on display in the fellowship hall for several weeks during the 60th anniversary celebration in Sept 2006.,photos,events,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3302,"The original <e1>santur</e1> was made with tree <e2>bark</e2>, stones and stringed with goat intestines.","The original santur was made with tree bark, stones and stringed with goat intestines.",santur,bark,Other,Other,none,tree bark is a substance not a part.
3303,The second <e1>accident</e1> was reported on radio and television morning <e2>shows</e2>.,The second accident was reported on radio and television morning shows.,accident,shows,"Message-Topic(e2,e1)",Message-Topic,"e2,e1",
3304,His <e1>place</e1> was in the <e2>desk</e2> in front of me.,His place was in the desk in front of me.,place,desk,Other,Other,none,desk is not a container (a) is not satisfied
3305,"A sailing <e1>boat</e1> has the large <e2>mainsail</e2>, a smaller foresail and perhaps a large balloon-like spinnaker at the very front.","A sailing boat has the large mainsail, a smaller foresail and perhaps a large balloon-like spinnaker at the very front.",boat,mainsail,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
3306,"Some time in 2002, the <e1>chief executive</e1> of this <e2>corporation</e2> sought and received board approval to construct a modern training school for its staff.","Some time in 2002, the chief executive of this corporation sought and received board approval to construct a modern training school for its staff.",chief executive,corporation,Other,Other,none,
3307,I gave him a <e1>bottle</e1> with very cold <e2>water</e2> in it yesterday because it was so hot out when I took him for a walk.,I gave him a bottle with very cold water in it yesterday because it was so hot out when I took him for a walk.,bottle,water,"Content-Container(e2,e1)",Content-Container,"e2,e1",prototypical example
3308,The new <e1>study</e1> provides insight into how the first <e2>flowering plants</e2> evolved from pre-existing genetic programs found in gymnosperms.,The new study provides insight into how the first flowering plants evolved from pre-existing genetic programs found in gymnosperms.,study,flowering plants,"Message-Topic(e1,e2)",Message-Topic,"e1,e2","We presume this is the text of the study, not the activity; thus (d) is satisfied."
3309,"The <e1>victim</e1> ran away from the <e2>perpetrators</e2> so quickly, he ran out of his shoes.","The victim ran away from the perpetrators so quickly, he ran out of his shoes.",victim,perpetrators,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3310,"After this preliminary identification of the Hittite <e1>people</e1> and their <e2>language</e2>, we had more confidently approach the story of their rise to fame.","After this preliminary identification of the Hittite people and their language, we had more confidently approach the story of their rise to fame.",people,language,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1","It can't be ""their language"" unless they use it."
3311,"Upon completion of the activity, the employee supervises the exit of the <e1>group</e1> from the <e2>facility</e2>.","Upon completion of the activity, the employee supervises the exit of the group from the facility.",group,facility,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3312,"A <e1>train</e1> ran into a <e2>truck</e2>, leaving 14 dead.","A train ran into a truck, leaving 14 dead.",train,truck,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
3313,"<e1>Muscles</e1> are the parts of the <e2>body</e2> that allow us to move in positions such as sit, stand, walk, run, bend, and reach.","Muscles are the parts of the body that allow us to move in positions such as sit, stand, walk, run, bend, and reach.",Muscles,body,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
3314,"This website is the best <e1>tool</e1> for <e2>artists</e2>, labels and fans alike.","This website is the best tool for artists, labels and fans alike.",tool,artists,"Instrument-Agency(e1,e2)",Instrument-Agency,"e1,e2",
3315,"The mobile crane can be used for demolition or earthmoving as the <e1>hook</e1> at the end of the <e2>crane</e2> can be changed to a ball or wrecking bucket, dependent on the crane hire job.","The mobile crane can be used for demolition or earthmoving as the hook at the end of the crane can be changed to a ball or wrecking bucket, dependent on the crane hire job.",hook,crane,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
3316,"The <e1>room</e1> includes a queen bed, <e2>shower</e2> and tub and sitting room with sofa bed.","The room includes a queen bed, shower and tub and sitting room with sofa bed.",room,shower,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
3317,"Over much of the past decade, the <e1>leader</e1> has methodically fashioned the party into a re-election <e2>machine</e2>.","Over much of the past decade, the leader has methodically fashioned the party into a re-election machine.",leader,machine,Other,Other,none,the machine is not a real product
3318,"Oh, so this was all about a <e1>trash bag</e1> with <e2>money</e2> in it.","Oh, so this was all about a trash bag with money in it.",trash bag,money,"Content-Container(e2,e1)",Content-Container,"e2,e1",prototypical example
3319,"I went to a bank and got $100 worth of pennies in those rolls, emptied them out, then put all the loose <e1>coins</e1> in a <e2>sack</e2>, and delivered them to Mr. Giles's office at the league headquarters in Carew Tower.","I went to a bank and got $100 worth of pennies in those rolls, emptied them out, then put all the loose coins in a sack, and delivered them to Mr. Giles's office at the league headquarters in Carew Tower.",coins,sack,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
3320,"As the <e1>ship</e1> drew from the <e2>harbour</e2> more, the helmsman turned 'round easily.","As the ship drew from the harbour more, the helmsman turned 'round easily.",ship,harbour,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
3321,"The most successful action <e1>films</e1> were about a <e2>man</e2> called ""Rambo"".","The most successful action films were about a man called ""Rambo"".",films,man,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
3322,"With the <e1>pollution</e1> caused by the <e2>buring</e2> of coal, the light-colored tree trunks became darker due to soot.","With the pollution caused by the buring of coal, the light-colored tree trunks became darker due to soot.",pollution,buring,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
3323,"He stirred the oil, garlic and cumin seeds together in a <e1>dish</e1> large enough to hold the <e2>sardines</e2> in a single layer.","He stirred the oil, garlic and cumin seeds together in a dish large enough to hold the sardines in a single layer.",dish,sardines,Other,Other,none,
3324,"The <e1>media</e1> is the middle part of the <e2>artery</e2>, made up of a layer of muscle and elastic tissue.","The media is the middle part of the artery, made up of a layer of muscle and elastic tissue.",media,artery,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
3325,"Continued <e1>exposure</e1> to higher concentrations of the gas cause disorientation, <e2>convulsions</e2>, unconsciousness and death.","Continued exposure to higher concentrations of the gas cause disorientation, convulsions, unconsciousness and death.",exposure,convulsions,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
3326,"I was hoping to find yet another <e1>bed</e1> of <e2>clams</e2>, but no luck.","I was hoping to find yet another bed of clams, but no luck.",bed,clams,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
3327,The war <e1>refuges</e1> migrated into the Southern <e2>region</e2> to avoid battles.,The war refuges migrated into the Southern region to avoid battles.,refuges,region,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
3328,A <e1>swarm</e1> of <e2>ants</e2> in the search for food shows the remarkable capability of finding shortest paths between a found food source and the anthill.,A swarm of ants in the search for food shows the remarkable capability of finding shortest paths between a found food source and the anthill.,swarm,ants,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
3329,The scientists poured <e1>money</e1> into pint <e2>cancer research</e2>.,The scientists poured money into pint cancer research.,money,cancer research,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",both are abstract
3330,"The <e1>programme</e1> depicts the <e2>adventures</e2> of a mysterious, humanoid alien.","The programme depicts the adventures of a mysterious, humanoid alien.",programme,adventures,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
3331,These chemical <e1>studies</e1> were directed toward <e2>proof</e2> of structure of the indole components of the seeds.,These chemical studies were directed toward proof of structure of the indole components of the seeds.,studies,proof,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
3332,The <e1>riot</e1> was instigated by the <e2>clergy</e2> of the Church of England with the active support and collaboration of the magistrates.,The riot was instigated by the clergy of the Church of England with the active support and collaboration of the magistrates.,riot,clergy,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
3333,The skydiving <e1>scene</e1> was the best part of the <e2>movie</e2>.,The skydiving scene was the best part of the movie.,scene,movie,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
3334,The <e1>farm</e1> is participant in <e2>forestry</e2> and there have already been planted around eight thousand plants.,The farm is participant in forestry and there have already been planted around eight thousand plants.,farm,forestry,Other,Other,none,Participation is a relation generally different from all our Nine. Component-Whole may be close sometimes.
3335,But the <e1>discomfort</e1> caused by the <e2>ointment</e2> and the duration of treatment often result in non-compliance.,But the discomfort caused by the ointment and the duration of treatment often result in non-compliance.,discomfort,ointment,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
3336,<e1>Menopause</e1> and PMS cause stress and <e2>anxiety</e2> even without imbalanced hormones.,Menopause and PMS cause stress and anxiety even without imbalanced hormones.,Menopause,anxiety,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
3337,The <e1>arrest</e1> completes a dismal past five <e2>weeks</e2> for the 25-year-old.,The arrest completes a dismal past five weeks for the 25-year-old.,arrest,weeks,Other,Other,none,weeks is not a product
3338,"Along with the terracotta army, comes a <e1>shuffle</e1> of terracotta <e2>bureaucrats</e2>: identified by the knives hanging from their belts, which would have been used to correct mistakes written on strips of bamboo.","Along with the terracotta army, comes a shuffle of terracotta bureaucrats: identified by the knives hanging from their belts, which would have been used to correct mistakes written on strips of bamboo.",shuffle,bureaucrats,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",modality is outside
3339,The <e1>killings</e1> resulted in indiscriminate <e2>firing</e2> by unknown people in Garden area of the city.,The killings resulted in indiscriminate firing by unknown people in Garden area of the city.,killings,firing,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
